time,data values
2023-09-11T15:50:09.673Z,75
2023-09-11T15:50:10.678Z,75
2023-09-11T15:50:11.668Z,75
2023-09-11T15:50:12.673Z,74
2023-09-11T15:50:13.678Z,74
2023-09-11T15:50:14.668Z,74
2023-09-11T15:50:15.673Z,74
2023-09-11T15:50:16.663Z,74
2023-09-11T15:50:18.053Z,74
2023-09-11T15:50:19.053Z,74
2023-09-11T15:50:20.053Z,74
2023-09-11T15:50:21.053Z,74
2023-09-11T15:50:22.053Z,70
2023-09-11T15:50:23.053Z,71
2023-09-11T15:50:24.053Z,71
2023-09-11T15:50:25.053Z,71
2023-09-11T15:50:26.054Z,70
2023-09-11T15:50:27.053Z,75
2023-09-11T15:50:28.053Z,77
2023-09-11T15:50:29.053Z,85
2023-09-11T15:50:30.053Z,88
2023-09-11T15:50:31.053Z,89
2023-09-11T15:50:32.053Z,95
2023-09-11T15:50:33.053Z,104
2023-09-11T15:50:34.053Z,112
2023-09-11T15:50:35.053Z,116
2023-09-11T15:50:36.053Z,118
2023-09-11T15:50:37.053Z,119
2023-09-11T15:50:38.053Z,120
2023-09-11T15:50:39.053Z,121
2023-09-11T15:50:40.053Z,125
2023-09-11T15:50:42.054Z,125
2023-09-11T15:50:43.054Z,125
2023-09-11T15:50:44.053Z,126
2023-09-11T15:50:45.053Z,127
2023-09-11T15:50:46.053Z,127
2023-09-11T15:50:47.053Z,127
2023-09-11T15:50:48.053Z,126
2023-09-11T15:50:49.053Z,126
2023-09-11T15:50:50.053Z,125
2023-09-11T15:50:51.053Z,125
2023-09-11T15:50:52.053Z,124
2023-09-11T15:50:53.053Z,123
2023-09-11T15:50:54.053Z,122
2023-09-11T15:50:55.053Z,120
2023-09-11T15:50:56.053Z,119
2023-09-11T15:50:57.053Z,119
2023-09-11T15:50:58.053Z,118
2023-09-11T15:50:59.053Z,117
2023-09-11T15:51:00.053Z,117
2023-09-11T15:51:01.053Z,116
2023-09-11T15:51:02.053Z,116
2023-09-11T15:51:03.054Z,116
2023-09-11T15:51:04.054Z,115
2023-09-11T15:51:06.055Z,116
2023-09-11T15:51:07.054Z,115
2023-09-11T15:51:08.054Z,115
2023-09-11T15:51:09.053Z,115
2023-09-11T15:51:10.053Z,115
2023-09-11T15:51:11.053Z,115
2023-09-11T15:51:12.053Z,115
2023-09-11T15:51:13.053Z,115
2023-09-11T15:51:14.053Z,115
2023-09-11T15:51:15.053Z,115
2023-09-11T15:51:16.053Z,115
2023-09-11T15:51:17.053Z,115
2023-09-11T15:51:18.053Z,114
2023-09-11T15:51:19.053Z,115
2023-09-11T15:51:20.053Z,115
2023-09-11T15:51:21.053Z,117
2023-09-11T15:51:22.053Z,120
2023-09-11T15:51:23.053Z,121
2023-09-11T15:51:24.053Z,122
2023-09-11T15:51:25.054Z,123
2023-09-11T15:51:26.055Z,123
2023-09-11T15:51:27.054Z,122
2023-09-11T15:51:28.053Z,120
2023-09-11T15:51:29.054Z,128
2023-09-11T15:51:30.053Z,127
2023-09-11T15:51:31.054Z,128
2023-09-11T15:51:32.054Z,128
2023-09-11T15:51:33.053Z,129
2023-09-11T15:51:34.054Z,130
