time,data values
2023-09-11T15:15:09.778Z,98
2023-09-11T15:15:11.572Z,97
2023-09-11T15:15:12.572Z,97
2023-09-11T15:15:13.572Z,96
2023-09-11T15:15:14.572Z,96
2023-09-11T15:15:15.572Z,95
2023-09-11T15:15:16.572Z,95
2023-09-11T15:15:17.572Z,95
2023-09-11T15:15:18.572Z,95
2023-09-11T15:15:19.572Z,95
2023-09-11T15:15:20.573Z,95
2023-09-11T15:15:21.572Z,96
2023-09-11T15:15:22.573Z,96
2023-09-11T15:15:23.572Z,96
2023-09-11T15:15:24.572Z,96
2023-09-11T15:15:25.572Z,96
2023-09-11T15:15:26.572Z,96
2023-09-11T15:15:27.572Z,97
2023-09-11T15:15:28.572Z,97
2023-09-11T15:15:29.572Z,97
2023-09-11T15:15:30.572Z,97
2023-09-11T15:15:31.572Z,97
2023-09-11T15:15:32.572Z,97
2023-09-11T15:15:33.572Z,96
2023-09-11T15:15:34.572Z,96
2023-09-11T15:15:35.572Z,95
2023-09-11T15:15:36.572Z,95
2023-09-11T15:15:37.572Z,94
2023-09-11T15:15:38.572Z,93
2023-09-11T15:15:39.571Z,92
2023-09-11T15:15:40.572Z,91
2023-09-11T15:15:41.572Z,89
2023-09-11T15:15:42.572Z,89
2023-09-11T15:15:43.572Z,88
2023-09-11T15:15:44.572Z,87
2023-09-11T15:15:45.571Z,87
2023-09-11T15:15:46.572Z,87
2023-09-11T15:15:47.572Z,87
2023-09-11T15:15:48.572Z,87
2023-09-11T15:15:49.572Z,87
2023-09-11T15:15:50.572Z,86
2023-09-11T15:15:51.573Z,86
2023-09-11T15:15:52.572Z,87
2023-09-11T15:15:53.572Z,87
2023-09-11T15:15:54.573Z,87
2023-09-11T15:15:55.573Z,86
2023-09-11T15:15:56.572Z,86
2023-09-11T15:15:57.572Z,86
2023-09-11T15:15:58.572Z,86
2023-09-11T15:15:59.572Z,86
2023-09-11T15:16:00.572Z,85
2023-09-11T15:16:01.572Z,85
2023-09-11T15:16:02.572Z,85
2023-09-11T15:16:03.572Z,84
2023-09-11T15:16:04.572Z,83
2023-09-11T15:16:05.572Z,82
2023-09-11T15:16:06.572Z,82
2023-09-11T15:16:07.572Z,82
2023-09-11T15:16:08.572Z,81
2023-09-11T15:16:09.572Z,80
2023-09-11T15:16:10.571Z,79
2023-09-11T15:16:11.573Z,78
2023-09-11T15:16:12.572Z,78
2023-09-11T15:16:13.572Z,77
2023-09-11T15:16:14.572Z,76
2023-09-11T15:16:15.572Z,76
2023-09-11T15:16:17.573Z,75
2023-09-11T15:16:18.572Z,74
2023-09-11T15:16:19.572Z,74
2023-09-11T15:16:20.572Z,74
2023-09-11T15:16:21.572Z,74
2023-09-11T15:16:22.572Z,74
2023-09-11T15:16:23.572Z,75
2023-09-11T15:16:24.572Z,75
2023-09-11T15:16:25.572Z,75
2023-09-11T15:16:26.572Z,75
2023-09-11T15:16:27.572Z,75
2023-09-11T15:16:28.572Z,75
2023-09-11T15:16:29.572Z,75
2023-09-11T15:16:30.573Z,75
2023-09-11T15:16:31.572Z,74
2023-09-11T15:16:32.572Z,75
2023-09-11T15:16:33.572Z,75
2023-09-11T15:16:34.572Z,76
2023-09-11T15:16:35.572Z,77
2023-09-11T15:16:36.572Z,77
2023-09-11T15:16:37.572Z,77
2023-09-11T15:16:38.572Z,76
2023-09-11T15:16:39.572Z,76
2023-09-11T15:16:40.572Z,76
2023-09-11T15:16:41.572Z,77
2023-09-11T15:16:42.572Z,77
2023-09-11T15:16:43.572Z,78
2023-09-11T15:16:44.572Z,79
2023-09-11T15:16:45.572Z,79
2023-09-11T15:16:46.572Z,80
2023-09-11T15:16:47.572Z,80
2023-09-11T15:16:48.572Z,80
2023-09-11T15:16:49.572Z,82
2023-09-11T15:16:50.572Z,83
2023-09-11T15:16:51.572Z,84
2023-09-11T15:16:52.572Z,84
2023-09-11T15:16:53.572Z,85
2023-09-11T15:16:54.572Z,85
2023-09-11T15:16:55.572Z,85
2023-09-11T15:16:56.572Z,85
2023-09-11T15:16:57.574Z,86
2023-09-11T15:16:58.572Z,88
2023-09-11T15:16:59.572Z,89
2023-09-11T15:17:00.572Z,90
2023-09-11T15:17:01.572Z,91
2023-09-11T15:17:02.572Z,91
2023-09-11T15:17:03.574Z,91
2023-09-11T15:17:04.574Z,91
2023-09-11T15:17:05.573Z,92
2023-09-11T15:17:06.572Z,92
2023-09-11T15:17:07.572Z,91
2023-09-11T15:17:08.573Z,91
2023-09-11T15:17:09.573Z,90
2023-09-11T15:17:10.573Z,91
2023-09-11T15:17:11.573Z,91
2023-09-11T15:17:12.573Z,92
2023-09-11T15:17:13.573Z,93
2023-09-11T15:17:14.573Z,93
2023-09-11T15:17:15.573Z,94
2023-09-11T15:17:16.573Z,94
2023-09-11T15:17:17.573Z,93
2023-09-11T15:17:18.573Z,93
2023-09-11T15:17:19.573Z,93
2023-09-11T15:17:20.573Z,92
2023-09-11T15:17:21.573Z,92
2023-09-11T15:17:22.573Z,91
2023-09-11T15:17:23.573Z,91
2023-09-11T15:17:24.573Z,90
2023-09-11T15:17:25.573Z,90
2023-09-11T15:17:26.573Z,90
2023-09-11T15:17:27.573Z,89
2023-09-11T15:17:28.573Z,88
2023-09-11T15:17:29.573Z,88
2023-09-11T15:17:30.573Z,86
2023-09-11T15:17:31.573Z,80
2023-09-11T15:17:32.573Z,78
2023-09-11T15:17:33.573Z,77
2023-09-11T15:17:34.573Z,76
2023-09-11T15:17:35.573Z,75
2023-09-11T15:17:36.573Z,73
2023-09-11T15:17:37.573Z,71
2023-09-11T15:17:38.573Z,70
2023-09-11T15:17:39.573Z,70
2023-09-11T15:17:40.573Z,70
2023-09-11T15:17:41.573Z,70
2023-09-11T15:17:42.573Z,71
2023-09-11T15:17:43.573Z,71
2023-09-11T15:17:44.574Z,72
2023-09-11T15:17:46.574Z,73
2023-09-11T15:17:47.573Z,76
2023-09-11T15:17:48.573Z,77
2023-09-11T15:17:49.573Z,78
2023-09-11T15:17:50.573Z,79
2023-09-11T15:17:51.573Z,80
2023-09-11T15:17:52.573Z,80
2023-09-11T15:17:53.573Z,80
2023-09-11T15:17:54.573Z,80
2023-09-11T15:17:55.574Z,80
2023-09-11T15:17:56.573Z,80
2023-09-11T15:17:57.574Z,80
2023-09-11T15:17:58.574Z,80
2023-09-11T15:17:59.574Z,80
2023-09-11T15:18:00.574Z,80
2023-09-11T15:18:01.574Z,80
2023-09-11T15:18:02.574Z,80
2023-09-11T15:18:03.573Z,80
2023-09-11T15:18:04.574Z,80
2023-09-11T15:18:05.574Z,80
2023-09-11T15:18:06.574Z,80
2023-09-11T15:18:07.574Z,80
2023-09-11T15:18:08.574Z,80
2023-09-11T15:18:09.574Z,80
2023-09-11T15:18:10.573Z,80
2023-09-11T15:18:11.573Z,80
2023-09-11T15:18:12.573Z,80
2023-09-11T15:18:13.573Z,80
2023-09-11T15:18:14.573Z,80
2023-09-11T15:18:15.573Z,80
2023-09-11T15:18:16.573Z,80
2023-09-11T15:18:17.573Z,81
2023-09-11T15:18:18.573Z,81
2023-09-11T15:18:19.573Z,81
2023-09-11T15:18:20.574Z,81
2023-09-11T15:18:21.574Z,81
2023-09-11T15:18:22.573Z,80
2023-09-11T15:18:23.573Z,79
2023-09-11T15:18:24.574Z,78
2023-09-11T15:18:25.574Z,78
2023-09-11T15:18:26.574Z,78
